ts_code,code,weight,value分,pe_ttm,pb,circ_mv亿,name
002847.SZ,002847,0.0037593984962406013,0.921,21.9,8.12,147.0,盐津铺子
002783.SZ,002783,0.0037593984962406013,0.921,27.3,1.79,43.3,凯龙股份
603733.SH,603733,0.0037593984962406013,0.92,16.5,1.92,158.9,仙鹤股份
603979.SH,603979,0.0037593984962406013,0.92,16.8,3.6,376.1,金诚信
688267.SH,688267,0.0037593984962406013,0.919,23.4,1.75,49.5,中触媒
300573.SZ,300573,0.0037593984962406013,0.919,26.0,8.95,129.2,兴齐眼药
002372.SZ,002372,0.0037593984962406013,0.918,20.5,3.8,164.6,伟星新材
301522.SZ,301522,0.0037593984962406013,0.918,102.5,6.14,88.0,上大股份
300441.SZ,300441,0.0037593984962406013,0.917,15.9,1.87,44.8,鲍斯股份
002003.SZ,002003,0.0037593984962406013,0.917,18.3,2.57,100.8,伟星股份
600728.SH,600728,0.0037593984962406013,0.917,45.4,1.54,121.1,佳都科技
300012.SZ,300012,0.0037593984962406013,0.916,23.9,3.16,206.5,华测检测
000713.SZ,000713,0.0037593984962406013,0.915,103.6,1.74,40.0,国投丰乐
300415.SZ,300415,0.0037593984962406013,0.915,16.5,3.66,110.4,伊之密
601599.SH,601599,0.0037593984962406013,0.914,34.2,3.0,45.4,浙文影业
002543.SZ,002543,0.0037593984962406013,0.914,9.8,1.33,59.7,万和电气
002605.SZ,002605,0.0037593984962406013,0.914,17.5,2.4,71.4,姚记科技
002206.SZ,002206,0.0037593984962406013,0.913,13.7,1.85,53.1,海利得
600717.SH,600717,0.0037593984962406013,0.913,13.6,0.66,133.1,天津港
603363.SH,603363,0.0037593984962406013,0.913,5.6,3.02,83.2,傲农生物
001914.SZ,001914,0.0037593984962406013,0.913,16.0,0.98,104.6,招商积余
002120.SZ,002120,0.0037593984962406013,0.912,15.9,0.97,191.1,韵达股份
600338.SH,600338,0.0037593984962406013,0.912,34.7,3.56,155.0,西藏珠峰
300039.SZ,300039,0.0037593984962406013,0.912,18.3,1.4,55.6,上海凯宝
600563.SH,600563,0.0037593984962406013,0.911,24.4,4.83,291.5,法拉电子
002881.SZ,002881,0.0037593984962406013,0.911,81.6,4.37,70.2,美格智能
601199.SH,601199,0.0037593984962406013,0.91,13.2,1.18,53.6,江南水务
300319.SZ,300319,0.0037593984962406013,0.91,30.1,2.11,96.2,麦捷科技
600970.SH,600970,0.0037593984962406013,0.91,9.5,1.19,271.8,中材国际
300623.SZ,300623,0.0037593984962406013,0.909,46.5,3.84,209.2,捷捷微电
600210.SH,600210,0.0037593984962406013,0.909,8.5,1.58,105.4,紫江企业
002262.SZ,002262,0.0037593984962406013,0.909,19.1,2.9,204.2,恩华药业
688617.SH,688617,0.0037593984962406013,0.908,43.4,11.52,355.7,惠泰医疗
