date,elg_net,lg_net,md_net,sm_net,turnover,main_net
2025-05-13,-170.35955,-138.77059699999987,85.47548800000027,223.6546849999994,12913.652135,-309.13014699999985
2025-05-14,8.14286400000006,-76.39640699999966,-66.43143100000025,134.6848799999997,13165.991944000001,-68.2535429999996
2025-05-15,-243.5499759999998,-287.60478499999977,68.47081299999952,462.6839420000002,11522.446141999999,-531.1547609999996
2025-05-16,63.870949999999816,-40.033763999999685,-66.13874200000018,42.30157800000012,10894.313055,23.83718600000013
2025-05-19,-37.99168800000008,-86.08665099999979,-8.937940000000596,133.01624399999977,10863.051986,-124.07833899999987
2025-05-20,46.360875,-65.6649049999997,-37.513377000000325,56.81744600000009,11695.329999,-19.304029999999706
2025-05-21,-82.09311199999992,-147.0385789999999,34.5569140000008,194.57488999999984,11732.60742,-229.13169099999982
2025-05-22,-104.55272599999998,-148.0747950000003,24.081755999999494,228.5457799999997,11025.199819,-252.62752100000029
2025-05-23,-75.59755199999995,-156.14931999999993,-35.70013799999953,267.4469729999997,11553.862340000001,-231.74687199999988
2025-05-26,-6.408802999999933,-68.86534800000004,-46.78459600000009,122.05878200000004,10097.726358999998,-75.27415099999997
2025-05-27,-28.62942100000009,-118.02324100000001,-4.216040000000596,150.86870799999983,9987.542393,-146.6526620000001
2025-05-28,-57.58126099999994,-127.81064399999975,20.71619600000009,164.6756960000001,10097.507719000001,-185.3919049999997
2025-05-29,121.48380500000007,-47.14903699999973,-159.59142899999915,85.2565759999998,11852.310875000001,74.33476800000034
2025-05-30,-193.1880870000001,-159.4299849999994,96.50987299999967,256.1081410000004,11388.159646,-352.61807199999953
2025-06-03,-25.459088000000083,-66.42689600000047,-18.282184000000356,110.16820799999982,11411.948419,-91.88598400000055
2025-06-04,23.41055800000001,-26.02371000000015,-45.39384200000018,48.00690100000054,11528.52731,-2.6131520000001416
2025-06-05,37.71575500000007,-41.310005999999866,-26.047277000000328,29.64150599999949,12901.920207,-3.594250999999794
2025-06-06,-76.17655399999991,-118.22993900000006,12.255246999999882,182.15116599999965,11518.421381000002,-194.40649299999995
2025-06-09,56.701338000000085,-59.03783000000008,-73.27368200000004,75.61023200000002,12862.248854000001,-2.3364919999999927
2025-06-10,-156.4172750000002,-203.29900999999978,40.16483100000024,319.5513799999997,14151.795003,-359.71628499999997
2025-06-11,-5.390548000000044,-44.525055999999864,-52.2001200000003,102.115725,12552.742430000002,-49.91560399999991
2025-06-12,-5.418714999999851,-87.27437300000004,-17.936570999999343,110.62971000000014,12716.299062,-92.69308799999989
2025-06-13,-156.98498599999994,-221.92558199999965,32.100095000000294,346.8102990000002,14670.647469999998,-378.91056799999956
2025-06-16,19.05836799999997,-46.36188200000003,-92.18315199999958,119.48667800000013,12149.112463,-27.30351400000006
2025-06-17,-76.48304399999995,-119.06329100000002,19.649751999999584,175.89654800000042,12070.773823000001,-195.54633499999997
2025-06-18,-57.455072000000065,-89.12740500000008,-8.286714999999852,154.8692099999994,11909.258509000001,-146.58247700000015
2025-06-19,-195.52604299999996,-198.39552100000046,44.26445199999958,349.6570440000005,12505.043089,-393.92156400000044
2025-06-20,-98.57745600000024,-124.83894699999988,-11.772787000000477,235.18922200000063,10675.869650000002,-223.41640300000012
2025-06-23,51.95972699999996,-30.792715000000225,-79.09536700000018,57.928475,11224.570217999999,21.167011999999733
2025-06-24,89.22639700000006,-25.914425,-106.48633000000045,43.17431800000072,14142.73281,63.31197200000006
2025-06-25,63.21771600000002,-117.16238999999985,-61.463603999999165,115.4083,16025.352063000002,-53.94467399999983
2025-06-26,-105.09828399999998,-166.57216000000014,32.23366000000015,239.43684099999965,15829.547528000003,-271.6704440000001
2025-06-27,-36.686204000000096,-117.44850300000012,-22.950232000000028,177.08497599999978,15409.356167999998,-154.13470700000022
2025-06-30,17.17518599999994,-57.12533800000027,-25.586737999999524,65.53693299999982,14866.368656,-39.95015200000033
2025-07-01,-90.80352700000014,-140.31370399999992,23.304222000000625,207.81309400000052,14658.046975,-231.11723100000006
